geo_id,date,prior_date,gap_days
CA,2015-05-26,2015-05-18,8
CA,2015-06-01,2015-05-26,6
CA,2016-05-31,2016-05-23,8
CA,2016-06-06,2016-05-31,6
CA,2020-05-26,2020-05-18,8
CA,2020-06-01,2020-05-26,6
CA,2023-05-30,2023-05-22,8
CA,2023-06-05,2023-05-30,6
PADD5XCA,2015-05-26,2015-05-18,8
PADD5XCA,2015-06-01,2015-05-26,6
PADD5XCA,2016-05-31,2016-05-23,8
PADD5XCA,2016-06-06,2016-05-31,6
PADD5XCA,2020-05-26,2020-05-18,8
PADD5XCA,2020-06-01,2020-05-26,6
PADD5XCA,2023-05-30,2023-05-22,8
PADD5XCA,2023-06-05,2023-05-30,6
PADD2,2015-05-26,2015-05-18,8
PADD2,2015-06-01,2015-05-26,6
PADD2,2016-05-31,2016-05-23,8
PADD2,2016-06-06,2016-05-31,6
PADD2,2020-05-26,2020-05-18,8
PADD2,2020-06-01,2020-05-26,6
PADD2,2023-05-30,2023-05-22,8
PADD2,2023-06-05,2023-05-30,6
PADD5,2015-05-26,2015-05-18,8
PADD5,2015-06-01,2015-05-26,6
PADD5,2016-05-31,2016-05-23,8
PADD5,2016-06-06,2016-05-31,6
PADD5,2020-05-26,2020-05-18,8
PADD5,2020-06-01,2020-05-26,6
PADD5,2023-05-30,2023-05-22,8
PADD5,2023-06-05,2023-05-30,6
PADD1B,2015-05-26,2015-05-18,8
PADD1B,2015-06-01,2015-05-26,6
PADD1B,2016-05-31,2016-05-23,8
PADD1B,2016-06-06,2016-05-31,6
PADD1B,2020-05-26,2020-05-18,8
PADD1B,2020-06-01,2020-05-26,6
PADD1B,2023-05-30,2023-05-22,8
PADD1B,2023-06-05,2023-05-30,6
PADD1C,2015-05-26,2015-05-18,8
PADD1C,2015-06-01,2015-05-26,6
PADD1C,2016-05-31,2016-05-23,8
PADD1C,2016-06-06,2016-05-31,6
PADD1C,2020-05-26,2020-05-18,8
PADD1C,2020-06-01,2020-05-26,6
PADD1C,2023-05-30,2023-05-22,8
PADD1C,2023-06-05,2023-05-30,6
PADD1,2015-05-26,2015-05-18,8
PADD1,2015-06-01,2015-05-26,6
PADD1,2016-05-31,2016-05-23,8
PADD1,2016-06-06,2016-05-31,6
PADD1,2020-05-26,2020-05-18,8
PADD1,2020-06-01,2020-05-26,6
PADD1,2023-05-30,2023-05-22,8
PADD1,2023-06-05,2023-05-30,6
US,2015-05-26,2015-05-18,8
US,2015-06-01,2015-05-26,6
US,2016-05-31,2016-05-23,8
US,2016-06-06,2016-05-31,6
US,2019-06-03,2019-06-03,0
US,2019-06-10,2019-06-10,0
US,2020-05-26,2020-05-18,8
US,2020-06-01,2020-05-26,6
US,2023-05-30,2023-05-22,8
US,2023-06-05,2023-05-30,6
PADD3,2015-05-26,2015-05-18,8
PADD3,2015-06-01,2015-05-26,6
PADD3,2016-05-31,2016-05-23,8
PADD3,2016-06-06,2016-05-31,6
PADD3,2020-05-26,2020-05-18,8
PADD3,2020-06-01,2020-05-26,6
PADD3,2023-05-30,2023-05-22,8
PADD3,2023-06-05,2023-05-30,6
PADD4,2011-03-28,2011-02-28,28
PADD4,2015-05-26,2015-05-18,8
PADD4,2015-06-01,2015-05-26,6
PADD4,2016-05-31,2016-05-23,8
PADD4,2016-06-06,2016-05-31,6
PADD4,2020-05-26,2020-05-18,8
PADD4,2020-06-01,2020-05-26,6
PADD4,2023-05-30,2023-05-22,8
PADD4,2023-06-05,2023-05-30,6
PADD1A,2015-05-26,2015-05-18,8
PADD1A,2015-06-01,2015-05-26,6
PADD1A,2016-05-31,2016-05-23,8
PADD1A,2016-06-06,2016-05-31,6
PADD1A,2020-05-26,2020-05-18,8
PADD1A,2020-06-01,2020-05-26,6
PADD1A,2023-05-30,2023-05-22,8
PADD1A,2023-06-05,2023-05-30,6
