load_id,geo_id,source_date,week_date
1,CA,2015-05-26,2015-05-25
1,CA,2016-05-31,2016-05-30
1,CA,2020-05-26,2020-05-25
1,CA,2023-05-30,2023-05-29
1,PADD1,2015-05-26,2015-05-25
1,PADD1,2016-05-31,2016-05-30
1,PADD1,2020-05-26,2020-05-25
1,PADD1,2023-05-30,2023-05-29
1,PADD1A,2015-05-26,2015-05-25
1,PADD1A,2016-05-31,2016-05-30
1,PADD1A,2020-05-26,2020-05-25
1,PADD1A,2023-05-30,2023-05-29
1,PADD1B,2015-05-26,2015-05-25
1,PADD1B,2016-05-31,2016-05-30
1,PADD1B,2020-05-26,2020-05-25
1,PADD1B,2023-05-30,2023-05-29
1,PADD1C,2015-05-26,2015-05-25
1,PADD1C,2016-05-31,2016-05-30
1,PADD1C,2020-05-26,2020-05-25
1,PADD1C,2023-05-30,2023-05-29
1,PADD2,2015-05-26,2015-05-25
1,PADD2,2016-05-31,2016-05-30
1,PADD2,2020-05-26,2020-05-25
1,PADD2,2023-05-30,2023-05-29
1,PADD3,2015-05-26,2015-05-25
1,PADD3,2016-05-31,2016-05-30
1,PADD3,2020-05-26,2020-05-25
1,PADD3,2023-05-30,2023-05-29
1,PADD4,2015-05-26,2015-05-25
1,PADD4,2016-05-31,2016-05-30
1,PADD4,2020-05-26,2020-05-25
1,PADD4,2023-05-30,2023-05-29
1,PADD5,2015-05-26,2015-05-25
1,PADD5,2016-05-31,2016-05-30
1,PADD5,2020-05-26,2020-05-25
1,PADD5,2023-05-30,2023-05-29
1,PADD5XCA,2015-05-26,2015-05-25
1,PADD5XCA,2016-05-31,2016-05-30
1,PADD5XCA,2020-05-26,2020-05-25
1,PADD5XCA,2023-05-30,2023-05-29
1,US,2015-05-26,2015-05-25
1,US,2016-05-31,2016-05-30
1,US,2020-05-26,2020-05-25
1,US,2023-05-30,2023-05-29
