geo_id,recovered_amplitude,planted_amplitude,recovery_error,passed
CA,0.017730550795109323,0.02,0.002269449204890677,True
PADD1,0.05706263018627111,0.06,0.002937369813728885,True
PADD1A,0.05707537292641174,0.06,0.0029246270735882596,True
PADD1B,0.05708061184277402,0.06,0.0029193881572259772,True
PADD1C,0.037409275132888276,0.04,0.0025907248671117253,True
PADD2,0.02749165442968171,0.03,0.0025083455703182878,True
PADD3,0.01763872659587995,0.02,0.0023612734041200505,True
PADD4,0.02747708905181856,0.03,0.0025229109481814394,True
PADD5,0.01773871728259202,0.02,0.00226128271740798,True
PADD5XCA,0.017750733163870436,0.02,0.0022492668361295647,True
US,0.02757956872757905,0.03,0.0024204312724209476,True
