geo_id,scenario_id,regime,season,weeks,mean_spread,mean_dollars_per_1000_loads
CA,S1,FALLING,HEATING,40,0.0,0.0
CA,S1,FALLING,NON_HEATING,36,0.0,0.0
CA,S1,PLATEAU,HEATING,558,0.0,0.0
CA,S1,PLATEAU,NON_HEATING,575,0.0,0.0
CA,S1,RISING,HEATING,35,0.0,0.0
CA,S1,RISING,NON_HEATING,41,0.0,0.0
CA,S1,UNCLASSIFIED,HEATING,4,0.0,0.0
CA,S2,FALLING,HEATING,40,0.020000000000000018,10000.000000000004
CA,S2,FALLING,NON_HEATING,36,0.0,0.0
CA,S2,PLATEAU,HEATING,558,0.019999999999999733,10000.000000000002
CA,S2,PLATEAU,NON_HEATING,575,0.0,0.0
CA,S2,RISING,HEATING,35,0.020000000000000018,10000.000000000005
CA,S2,RISING,NON_HEATING,41,0.0,0.0
CA,S2,UNCLASSIFIED,HEATING,4,0.020000000000000018,10000.00000000001
CA,S3,FALLING,HEATING,40,0.027404166666666663,13702.083333333332
CA,S3,FALLING,NON_HEATING,36,0.023083333333333345,11541.666666666672
CA,S3,PLATEAU,HEATING,558,-0.00022939068100358672,-114.69534050179328
CA,S3,PLATEAU,NON_HEATING,573,0.0004639325189063393,231.9662594531696
CA,S3,RISING,HEATING,35,-0.025228571428571434,-12614.285714285712
CA,S3,RISING,NON_HEATING,41,-0.028357723577235792,-14178.861788617896
CA,S3,UNCLASSIFIED,HEATING,4,4.166666666663432e-05,20.833333333317153
CA,S4,FALLING,HEATING,40,0.04740416666666669,23702.08333333334
CA,S4,FALLING,NON_HEATING,36,0.023083333333333345,11541.666666666673
CA,S4,PLATEAU,HEATING,558,0.01977060931899639,9885.304659498217
CA,S4,PLATEAU,NON_HEATING,573,0.0004639325189063393,231.9662594531696
CA,S4,RISING,HEATING,35,-0.005228571428571411,-2614.2857142857056
CA,S4,RISING,NON_HEATING,41,-0.028357723577235785,-14178.861788617893
CA,S4,UNCLASSIFIED,HEATING,4,0.020041666666666652,10020.833333333327
CA,S5,FALLING,HEATING,40,0.08478749999999999,42393.75
CA,S5,FALLING,NON_HEATING,36,0.07482870370370374,37414.35185185186
CA,S5,PLATEAU,HEATING,558,-0.0018351254480286695,-917.5627240143335
CA,S5,PLATEAU,NON_HEATING,564,0.0023445626477541417,1172.281323877069
CA,S5,RISING,HEATING,35,-0.07752857142857139,-38764.28571428571
CA,S5,RISING,NON_HEATING,41,-0.08549593495934961,-42747.9674796748
CA,S5,UNCLASSIFIED,HEATING,4,4.166666666663432e-05,20.833333333317153
