parameter,value,scenario_id,mean_spread,mean_dollars_per_1000_loads,squeeze_share,weeks
base_price,1.0,S1,0.0,0.0,0.0,1289
base_price,1.0,S2,0.009883630721489385,4941.815360744764,0.0,1289
base_price,1.0,S3,1.968401968401868e-05,9.842009842009226,0.3745143745143745,1287
base_price,1.0,S4,0.0099186739186739,4959.336959336951,0.1686091686091686,1287
base_price,1.0,S5,0.00013510693792383586,67.55346896191838,0.44209702660406885,1278
base_price,1.0,S6,0.010103808033385495,5051.904016692746,0.20657276995305165,1278
base_price,1.25,S1,0.0,0.0,0.0,1289
base_price,1.25,S2,0.009883630721489385,4941.815360744763,0.0,1289
base_price,1.25,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
base_price,1.25,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
base_price,1.25,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
base_price,1.25,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
base_price,1.5,S1,0.0,0.0,0.0,1289
base_price,1.5,S2,0.009883630721489385,4941.815360744763,0.0,1289
base_price,1.5,S3,1.968401968401911e-05,9.842009842009496,0.3745143745143745,1287
base_price,1.5,S4,0.009918673918673874,4959.33695933695,0.1686091686091686,1287
base_price,1.5,S5,0.00013510693792383684,67.55346896191872,0.44209702660406885,1278
base_price,1.5,S6,0.010103808033385474,5051.904016692746,0.20657276995305165,1278
mpg,5.5,S1,0.0,0.0,0.0,1289
mpg,5.5,S2,0.009883630721489385,4941.815360744764,0.0,1289
mpg,5.5,S3,2.147347601893049e-05,10.736738009465158,0.3745143745143745,1287
mpg,5.5,S4,0.009920463375008815,4960.2316875044135,0.16938616938616938,1287
mpg,5.5,S5,0.00014738938682600398,73.69469341300224,0.44209702660406885,1278
mpg,5.5,S6,0.010116090482287654,5058.045241143835,0.20735524256651017,1278
mpg,6.0,S1,0.0,0.0,0.0,1289
mpg,6.0,S2,0.009883630721489385,4941.815360744763,0.0,1289
mpg,6.0,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
mpg,6.0,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
mpg,6.0,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
mpg,6.0,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
mpg,7.0,S1,0.0,0.0,0.0,1289
mpg,7.0,S2,0.009883630721489385,4941.815360744763,0.0,1289
mpg,7.0,S3,1.687201687201685e-05,8.436008436008436,0.3745143745143745,1287
mpg,7.0,S4,0.00991586191586188,4957.93095793096,0.1686091686091686,1287
mpg,7.0,S5,0.00011580594679186032,57.90297339593021,0.44209702660406885,1278
mpg,7.0,S6,0.010084507042253481,5042.253521126763,0.20579029733959311,1278
step_up_per_mile,0.01,S1,0.0,0.0,0.0,1289
step_up_per_mile,0.01,S2,0.004941815360744692,2470.907680372382,0.0,1289
step_up_per_mile,0.01,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
step_up_per_mile,0.01,S4,0.0049691789691789605,2484.5894845894895,0.17482517482517482,1287
step_up_per_mile,0.01,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
step_up_per_mile,0.01,S6,0.0051194574856546675,2559.7287428273357,0.30203442879499215,1278
step_up_per_mile,0.02,S1,0.0,0.0,0.0,1289
step_up_per_mile,0.02,S2,0.009883630721489385,4941.815360744763,0.0,1289
step_up_per_mile,0.02,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
step_up_per_mile,0.02,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
step_up_per_mile,0.02,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
step_up_per_mile,0.02,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
step_up_per_mile,0.04,S1,0.0,0.0,0.0,1289
step_up_per_mile,0.04,S2,0.01976726144297877,9883.630721489526,0.0,1289
step_up_per_mile,0.04,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
step_up_per_mile,0.04,S4,0.019817663817663738,9908.831908831926,0.1592851592851593,1287
step_up_per_mile,0.04,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
step_up_per_mile,0.04,S6,0.020072509128847126,10036.254564423583,0.20109546165884193,1278
regime_threshold,0.02,S1,0.0,0.0,0.0,1289
regime_threshold,0.02,S2,0.009883630721489385,4941.815360744763,0.0,1289
regime_threshold,0.02,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
regime_threshold,0.02,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
regime_threshold,0.02,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
regime_threshold,0.02,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
